Number;Sentence;Template;Keywords;A_F1_Lists;AV_F1_Lists;AudioScreening_F1;Linguistics_F1;Video;Audio;Linguistics;Video;;;;;;;Slope;Offset;Naturalness;Discomfort
83;Prisen hænger næsten altid sammen med efterspørgslen;;prisen, hænger, efterspørgslen;;;;;;;;;;;;;;;;;;
84;Jeg bestemte hvad vi skulle lege sidste søndag;;bestemte, lege, søndag;;;;;;;;;;;;;;;;;;
85;Det var meget vigtigt at bandet kunne spille i takt;;vigtigt, spille, takt;;;;;;;;;;;;;;;;;;
86;På fredag skal vi rejse ned til et billigt hotel;;fredag, rejse, hotel;;;;;;;;;;;;;;;;;;
87;De vil gerne overføre deres omkostninger til maj;;overføre, omkostninger, maj;;;;;;;;;;;;;;;;;;
88;Han opmuntrede os til at teste chokoladen;;opmuntrede, teste, chokoladen;;;;;;;;;;;;;;;;;;
89;Det er en sejr som virkelig kan forene vores by;;sejr, forene, by;;;;;;;;;;;;;;;;;;
90;De tjekkede både gulvet og loftet i stuen;;tjekkede, gulvet, stuen;;;;;;;;;;;;;;;;;;
91;Der var flere deltagere der sprang over foredraget;;deltagere, sprang, foredraget;;;;;;;;;;;;;;;;;;
92;Han var lettet fordi de havde underskrevet dokumentet;;lettet, underskrevet, dokumentet;;;;;;;;;;;;;;;;;;
93;Min kollega glemte sin taske på biblioteket;;kollega, taske, biblioteket;;;;;;;;;;;;;;;;;;
94;Hun har planlagt hvordan vi kan dele alle udgifterne;;planlagt, dele, udgifterne;;;;;;;;;;;;;;;;;;
95;Det er korrekt at månen bevæger sig gennem rummet;;korrekt, månen, rummet;;;;;;;;;;;;;;;;;;
96;Under dansen smed en herre sin hat op i luften;;dansen, hat, luften;;;;;;;;;;;;;;;;;;
97;Hun har ofte hældt en lille smule olie i sit hår;;hældt, olie, hår;;;;;;;;;;;;;;;;;;
98;Vi konkluderede at vi burde igangsætte madlavningen;;konkluderede, igangsætte, madlavningen;;;;;;;;;;;;;;;;;;
99;Det var en replik som instruktøren havde foreslået;;replik, instruktøren, foreslået;;;;;;;;;;;;;;;;;;
100;Vi opfordrer folk til at ringe til vores talsmand;;folk, ringe, talsmand;;;;;;;;;;;;;;;;;;
101;Der var medier der helst ville hylde parlamentet;;medier, hylde, parlamentet;;;;;;;;;;;;;;;;;;
102;De er ivrige fordi en motorvej kan forbinde områderne;;ivrige, motorvej, områderne;;;;;;;;;;;;;;;;;;
103;Vores stykke tiltalte faktisk en seriøs forfatter;;stykke, tiltale, forfatter;;;;;;;;;;;;;;;;;;
104;Han har også lært hvordan man driver forretning;;lært, driver, forretning;;;;;;;;;;;;;;;;;;
105;Det er klart at pressen vil foretrække en sejr;;klart, pressen, sejr;;;;;;;;;;;;;;;;;;
106;På den egn koger man typisk ænderne i vin;;koger, ænderne, vin;;;;;;;;;;;;;;;;;;
107;Deres advokat overbeviste os på fem minutter;;advokat, overbeviste, minutter;;;;;;;;;;;;;;;;;;
108;Hun fejrer at hun lige har oprettet et hospital;;fejrer, oprettet, hospital;;;;;;;;;;;;;;;;;;
109;Det var en sønderjysk pige som scorede målet;;pige, scorede, målet;;;;;;;;;;;;;;;;;;
110;Han takkede både for forestillingen og for omgangen;;takkede, forestillingen, omgangen;;;;;;;;;;;;;;;;;;
111;Der er kampagner der opfordrer til mindre forbrug;;kampagner, opfordrer, forbrug;;;;;;;;;;;;;;;;;;
112;Jeg er ansvarlig imens selskabet undersøger kontrakten;;ansvarlig, selskabet, kontrakten;;;;;;;;;;;;;;;;;;
113;Kunstneren havde virkelig boet midt på en strand;;kunstneren, boet, strand;;;;;;;;;;;;;;;;;;
114;Vi fornemmede hvem der kunne bruge mere papir;;fornemmede, bruge, papir;;;;;;;;;;;;;;;;;;
115;Det var forståeligt at anbefalingen imponerede forhandleren;;forståeligt, anbefalingen, forhandleren;;;;;;;;;;;;;;;;;;
116;Efter bare et døgn meldte vi os til et nyt løb;;døgn, meldte, løb;;;;;;;;;;;;;;;;;;
117;En eller anden koncern ville betale os en præmie;;koncern, betale, præmie;;;;;;;;;;;;;;;;;;
118;Vi må antage at de vil udarbejde en konklusion;;antage, udarbejde, konklusion;;;;;;;;;;;;;;;;;;
119;Det er en teknisk fejl som har afbrudt showet;;fejl, afbrudt, showet;;;;;;;;;;;;;;;;;;
